item_name,text,type,answers,values,score: mce_total,optional,btn_width,
Instructions1,"<span style='color:#006699'><span style='font-size:20px'>For the following items, please reply from 0 (not at all like me) to 5 (very much like me): </span></span>",instruct,,,,,,
pni1,1. I can usually talk my way out of anything,likert,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni2,"2. When people don't notice me, I start to feel bad about myself",likert,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni3,3. I often hide my needs for fear that others will see me as needy and desperate,likert,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni4,4. I can make anyone believe anything I want them to,likert,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni5,5. I get annoyed by people who are not interested in what I say or do,likert,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni6,6. I find it easy to manipulate people,likert,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni7,7. Sometimes I avoid people because I'm concerned they'll disappoint me,likert,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni8,8. I typically get very angry when I'm unable to get what I want from others,likert,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni9,"9. When others don't meet my expectations, I often feel ashamed about what I wanted",,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni10,10. I feel important when others rely on me,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni11,11. I can read people like a book,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni12,12. Sacrificing for others makes me the better person,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni13,13. I often fantasise about accomplishing things that are probably beyond my means,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni14,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni15,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni16,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni17,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni18,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni20,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni21,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni22,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni23,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni24,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni25,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni26,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni27,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
pni28,,,Not at all like me (0)|1|2|3|4|Very much like me (5),0|1|2|3|4|5,0|1|2|3|4|5,No,125px,
,,,,,,,,
